flag,count
IDN,1251854
PAN,883028
USA,804907
CHN,739068
ITA,440425
ESP,414951
NOR,314643
TWN,309930
LKA,258414
FRA,243980
JPN,243808
SGP,220795
RUS,217446
MHL,212054
VNM,210167
KOR,199855
LBR,191368
HKG,187805
CAN,181822
GBR,178394
TUR,170706
AUS,166849
MYS,152738
DEU,133853
MLT,131015
GRC,111416
BLZ,84955
IND,84149
NLD,79378
PHL,73910
THA,70990
BHS,62946
PRT,59115
CYP,54707
IRN,53193
IRL,48067
ISL,45430
DNK,43288
ARE,42117
VCT,40422
SLE,36932
,33786
TZA,31246
KNA,25710
CYM,24588
SAU,23631
VUT,22240
MNG,22040
BRA,21126
ATG,20982
VEN,20424
HRV,19819
ZAF,18547
SYC,18254
TGO,18037
NGA,17247
IMN,15700
MEX,14196
SWE,14138
BEL,13554
GHA,13136
TUV,13122
PLW,13042
QAT,9111
COK,8936
EGY,8745
FRO,8569
COM,8391
BHR,8256
TUN,7937
PER,7791
BMU,7486
BGR,7264
PRK,7202
FJI,7172
ARG,6985
ECU,6956
NAM,6924
ALB,6499
NZL,6065
GIB,6027
BGD,5936
MUS,5927
BRN,5553
CMR,5470
MAR,5399
KIR,5158
KWT,5121
FIN,4848
BRB,4681
POL,4570
DMA,4543
MDA,4526
PNG,4430
OMN,4343
CHL,3722
LVA,3347
FSM,3332
LUX,3307
COL,3294
URY,3129
SEN,3007
NIU,2756
MDV,2675
MDG,2633
UKR,2611
DZA,2605
KHM,2574
JAM,2560
ROU,2282
MMR,2146
AZE,2076
LBY,2072
KEN,1963
EST,1872
LBN,1777
CUW,1770
AGO,1708
LTU,1548
JOR,1510
HND,1502
GEO,1492
MRT,1438
NRU,1356
UNK,1215
STP,1202
DJI,1102
GAB,1039
ETH,1016
MOZ,974
PAK,955
CHE,839
TTO,772
GNB,757
IRQ,698
GNQ,662
GIN,659
SLV,658
VGB,653
KAZ,532
SOM,505
GMB,504
CUB,462
GRL,446
GTM,440
MNE,427
PRY,410
CPV,383
ISR,378
SLB,376
JEY,374
REU,365
PYF,269
NCL,238
FLK,216
NIC,183
SYR,161
CIV,138
GUY,134
BOL,122
GCA,118
ANT,115
SVN,96
DOM,87
GGY,71
WSM,55
SJM,45
SDN,45
BEN,42
CRI,36
COD,31
TON,24
SHN,16
GRD,13
BIH,5
YEM,1
