day_mon_year,count
2021-01-01,83509
2021-01-02,80442
2021-01-03,78586
2021-01-04,83644
2021-01-05,81692
2021-01-06,76507
2021-01-07,71002
2021-01-08,75544
2021-01-09,83217
2021-01-10,78776
2021-01-11,83867
2021-01-12,89887
2021-01-13,92272
2021-01-14,91726
2021-01-15,92557
2021-01-16,79448
2021-01-17,76236
2021-01-18,82588
2021-01-19,85362
2021-01-20,85643
2021-01-21,85712
2021-01-22,83600
2021-01-23,78865
2021-01-24,77812
2021-01-25,81288
2021-01-26,80463
2021-01-27,79060
2021-01-28,74005
2021-01-29,75203
2021-01-30,74994
2021-01-31,73732
2021-02-01,76598
2021-02-02,71112
2021-02-03,73052
2021-02-04,74375
2021-02-05,73587
2021-02-06,70373
2021-02-07,65799
2021-02-08,58705
2021-02-09,56259
2021-02-10,53100
2021-02-11,48962
2021-02-12,49236
2021-02-13,53989
2021-02-14,57301
2021-02-15,62612
2021-02-16,62534
2021-02-17,60564
2021-02-18,69792
2021-02-19,78097
2021-02-20,76805
2021-02-21,78625
2021-02-22,80377
2021-02-23,76981
2021-02-24,79403
2021-02-25,81159
2021-02-26,77012
2021-02-27,75374
2021-02-28,78623
2021-03-01,79750
2021-03-02,78651
2021-03-03,88436
2021-03-04,93358
2021-03-05,89948
2021-03-06,82154
2021-03-07,80272
2021-03-08,86710
2021-03-09,89122
2021-03-10,88354
2021-03-11,92428
2021-03-12,90346
2021-03-13,87414
2021-03-14,87901
2021-03-15,91894
2021-03-16,101582
2021-03-17,94647
2021-03-18,104445
2021-03-19,91579
2021-03-20,86421
2021-03-21,75388
2021-03-22,85802
2021-03-23,91849
2021-03-24,93756
2021-03-25,96118
2021-03-26,99171
2021-03-27,92473
2021-03-28,90953
2021-03-29,95802
2021-03-30,99725
2021-03-31,101687
2021-04-01,96382
2021-04-02,92661
2021-04-03,84870
2021-04-04,78268
2021-04-05,86448
2021-04-06,91559
2021-04-07,92807
2021-04-08,93027
2021-04-09,93629
2021-04-10,95626
2021-04-11,97391
2021-04-12,97306
2021-04-13,99130
2021-04-14,95808
2021-04-15,98140
2021-04-16,111624
2021-04-17,96458
2021-04-18,94746
2021-04-19,97018
2021-04-20,98101
2021-04-21,101242
2021-04-22,97055
2021-04-23,96192
2021-04-24,95537
2021-04-25,94149
2021-04-26,97186
2021-04-27,101317
2021-04-28,104814
2021-04-29,105440
2021-04-30,111215
2021-05-01,97355
2021-05-02,90570
2021-05-03,84171
2021-05-04,80540
2021-05-05,82156
2021-05-06,87483
2021-05-07,89007
2021-05-08,87972
2021-05-09,87640
2021-05-10,86814
2021-05-11,85220
2021-05-12,91088
2021-05-13,92816
2021-05-14,94874
2021-05-15,90068
2021-05-16,87726
2021-05-17,89629
2021-05-18,91293
2021-05-19,91023
2021-05-20,87671
2021-05-21,85985
2021-05-22,88832
2021-05-23,88070
2021-05-24,90704
2021-05-25,88599
2021-05-26,88979
2021-05-27,89896
2021-05-28,92629
2021-05-29,95080
2021-05-30,96202
2021-05-31,95634
2021-06-01,95534
2021-06-02,95097
2021-06-03,94236
2021-06-04,92523
2021-06-05,93477
2021-06-06,95637
2021-06-07,92179
2021-06-08,93088
2021-06-09,93912
2021-06-10,94075
2021-06-11,95283
2021-06-12,94492
2021-06-13,95178
2021-06-14,88834
2021-06-15,90133
2021-06-16,89803
2021-06-17,93093
2021-06-18,95084
2021-06-19,95165
2021-06-20,93955
2021-06-21,92951
2021-06-22,91731
2021-06-23,98449
2021-06-24,97611
2021-06-25,97925
2021-06-26,97901
2021-06-27,95362
2021-06-28,92483
2021-06-29,91897
2021-06-30,94492
2021-07-01,92002
2021-07-02,94917
2021-07-03,93583
2021-07-04,96315
2021-07-05,91892
2021-07-06,90357
2021-07-07,95848
2021-07-08,99334
2021-07-09,99154
2021-07-10,98909
2021-07-11,98745
2021-07-12,96662
