day_mon_year,count
2021-01-01,41862
2021-01-02,36160
2021-01-03,33340
2021-01-04,34318
2021-01-05,31749
2021-01-06,28949
2021-01-07,25952
2021-01-08,28367
2021-01-09,36464
2021-01-10,33643
2021-01-11,34638
2021-01-12,39149
2021-01-13,40431
2021-01-14,40849
2021-01-15,38683
2021-01-16,30621
2021-01-17,30844
2021-01-18,34836
2021-01-19,37133
2021-01-20,37497
2021-01-21,37482
2021-01-22,35349
2021-01-23,33202
2021-01-24,34796
2021-01-25,36630
2021-01-26,34852
2021-01-27,32557
2021-01-28,29854
2021-01-29,34113
2021-01-30,35545
2021-01-31,34904
2021-02-01,35251
2021-02-02,31927
2021-02-03,33904
2021-02-04,35260
2021-02-05,34843
2021-02-06,33937
2021-02-07,31523
2021-02-08,26189
2021-02-09,25429
2021-02-10,24200
2021-02-11,22404
2021-02-12,22943
2021-02-13,27637
2021-02-14,29585
2021-02-15,30790
2021-02-16,29033
2021-02-17,26523
2021-02-18,33637
2021-02-19,39899
2021-02-20,39385
2021-02-21,41054
2021-02-22,38089
2021-02-23,35641
2021-02-24,36364
2021-02-25,35278
2021-02-26,32432
2021-02-27,33409
2021-02-28,36864
2021-03-01,34028
2021-03-02,34734
2021-03-03,42269
2021-03-04,42192
2021-03-05,38316
2021-03-06,34231
2021-03-07,34881
2021-03-08,38718
2021-03-09,38664
2021-03-10,38097
2021-03-11,41495
2021-03-12,39107
2021-03-13,38607
2021-03-14,40555
2021-03-15,42038
2021-03-16,43381
2021-03-17,42930
2021-03-18,45121
2021-03-19,40111
2021-03-20,35137
2021-03-21,29797
2021-03-22,37707
2021-03-23,41030
2021-03-24,42540
2021-03-25,44295
2021-03-26,46562
2021-03-27,42333
2021-03-28,41487
2021-03-29,43899
2021-03-30,45562
2021-03-31,46874
2021-04-01,43849
2021-04-02,39556
2021-04-03,34271
2021-04-04,31789
2021-04-05,38625
2021-04-06,41035
2021-04-07,42838
2021-04-08,40905
2021-04-09,40865
2021-04-10,41938
2021-04-11,44131
2021-04-12,42183
2021-04-13,42529
2021-04-14,41447
2021-04-15,42245
2021-04-16,49059
2021-04-17,39116
2021-04-18,40756
2021-04-19,43297
2021-04-20,44157
2021-04-21,46500
2021-04-22,41812
2021-04-23,40482
2021-04-24,40904
2021-04-25,41013
2021-04-26,43065
2021-04-27,44610
2021-04-28,45785
2021-04-29,44356
2021-04-30,45597
2021-05-01,37014
2021-05-02,32633
2021-05-03,30786
2021-05-04,28982
2021-05-05,29224
2021-05-06,31357
2021-05-07,31701
2021-05-08,32951
2021-05-09,33097
2021-05-10,32009
2021-05-11,31258
2021-05-12,31987
2021-05-13,33827
2021-05-14,34381
2021-05-15,32247
2021-05-16,31672
2021-05-17,33813
2021-05-18,34153
2021-05-19,34588
2021-05-20,31976
2021-05-21,31196
2021-05-22,32793
2021-05-23,33220
2021-05-24,31676
2021-05-25,31592
2021-05-26,32315
2021-05-27,31172
2021-05-28,32364
2021-05-29,33789
2021-05-30,32972
2021-05-31,33910
2021-06-01,35263
2021-06-02,35090
2021-06-03,34232
2021-06-04,32286
2021-06-05,31967
2021-06-06,32534
2021-06-07,33560
2021-06-08,34427
2021-06-09,34910
2021-06-10,34107
2021-06-11,33960
2021-06-12,33770
2021-06-13,33751
2021-06-14,32422
2021-06-15,31843
2021-06-16,31168
2021-06-17,32178
2021-06-18,32905
2021-06-19,33550
2021-06-20,33592
2021-06-21,33493
2021-06-22,33315
2021-06-23,35053
2021-06-24,34221
2021-06-25,35196
2021-06-26,34939
2021-06-27,32264
2021-06-28,32058
2021-06-29,32658
2021-06-30,33125
2021-07-01,32701
2021-07-02,33552
2021-07-03,33105
2021-07-04,34743
2021-07-05,31876
2021-07-06,30756
2021-07-07,34083
2021-07-08,35946
2021-07-09,35505
2021-07-10,36213
2021-07-11,34535
2021-07-12,34261
2021-07-13,34483
2021-07-14,35134
2021-07-15,35747
2021-07-16,36425
2021-07-17,35256
2021-07-18,34583
2021-07-19,33881
2021-07-20,31680
2021-07-21,32256
2021-07-22,33204
2021-07-23,32041
2021-07-24,32139
2021-07-25,32321
2021-07-26,34862
2021-07-27,34840
2021-07-28,35622
2021-07-29,35324
2021-07-30,35702
2021-07-31,36569
2021-08-01,44419
2021-08-02,38535
2021-08-03,38995
2021-08-04,37930
2021-08-05,35703
2021-08-06,35869
2021-08-07,35967
2021-08-08,39778
2021-08-09,39777
2021-08-10,39597
2021-08-11,40040
2021-08-12,38409
2021-08-13,36388
2021-08-14,36440
2021-08-15,37066
2021-08-16,49749
