day_mon_year,count
2021-01-01,107049
2021-01-02,104223
2021-01-03,101039
2021-01-04,106990
2021-01-05,105444
2021-01-06,98119
2021-01-07,91804
2021-01-08,97711
2021-01-09,106454
2021-01-10,101020
2021-01-11,107177
2021-01-12,116006
2021-01-13,118201
2021-01-14,117605
2021-01-15,119418
2021-01-16,101636
2021-01-17,97761
2021-01-18,108405
2021-01-19,111373
2021-01-20,109897
2021-01-21,110661
2021-01-22,107105
2021-01-23,101320
2021-01-24,99602
2021-01-25,104624
2021-01-26,104520
2021-01-27,103744
2021-01-28,96269
2021-01-29,98201
2021-01-30,96911
2021-01-31,94642
2021-02-01,100318
2021-02-02,91508
2021-02-03,94586
2021-02-04,96485
2021-02-05,94697
2021-02-06,90798
2021-02-07,84898
2021-02-08,75741
2021-02-09,72662
2021-02-10,68993
2021-02-11,64178
2021-02-12,64710
2021-02-13,70775
2021-02-14,75209
2021-02-15,81507
2021-02-16,81899
2021-02-17,78064
2021-02-18,89290
2021-02-19,100120
2021-02-20,100666
2021-02-21,100576
2021-02-22,104907
2021-02-23,100008
2021-02-24,104426
2021-02-25,104227
2021-02-26,99292
2021-02-27,97343
2021-02-28,101427
2021-03-01,104395
2021-03-02,102992
2021-03-03,115520
2021-03-04,120659
2021-03-05,116809
2021-03-06,104691
2021-03-07,102830
2021-03-08,112217
2021-03-09,116024
2021-03-10,115085
2021-03-11,118965
2021-03-12,116406
2021-03-13,111832
2021-03-14,111399
2021-03-15,119401
2021-03-16,129490
2021-03-17,124294
2021-03-18,132483
2021-03-19,118918
2021-03-20,111201
2021-03-21,97370
2021-03-22,113216
2021-03-23,119583
2021-03-24,121376
2021-03-25,124345
2021-03-26,127814
2021-03-27,117718
2021-03-28,117718
2021-03-29,125084
2021-03-30,131413
2021-03-31,131243
2021-04-01,122643
2021-04-02,117824
2021-04-03,108011
2021-04-04,99906
2021-04-05,110665
2021-04-06,117481
2021-04-07,120597
2021-04-08,119222
2021-04-09,121974
2021-04-10,123066
2021-04-11,124115
2021-04-12,123740
2021-04-13,128144
2021-04-14,123494
2021-04-15,126860
2021-04-16,143253
2021-04-17,122372
2021-04-18,121456
2021-04-19,124865
2021-04-20,129090
2021-04-21,130090
2021-04-22,123379
2021-04-23,124739
2021-04-24,122961
2021-04-25,121097
2021-04-26,124022
2021-04-27,129915
2021-04-28,134667
2021-04-29,134866
2021-04-30,142074
2021-05-01,124754
2021-05-02,115057
2021-05-03,107640
2021-05-04,105159
2021-05-05,108017
2021-05-06,112822
2021-05-07,114007
2021-05-08,114400
2021-05-09,113322
2021-05-10,111388
2021-05-11,111589
2021-05-12,116740
2021-05-13,118706
2021-05-14,120358
2021-05-15,114254
