day_mon_year,count
2021-01-01,41947
2021-01-02,36272
2021-01-03,33448
2021-01-04,34446
2021-01-05,31865
2021-01-06,29033
2021-01-07,26059
2021-01-08,28443
2021-01-09,36583
2021-01-10,33731
2021-01-11,34711
2021-01-12,39249
2021-01-13,40503
2021-01-14,40961
2021-01-15,38793
2021-01-16,30700
2021-01-17,30916
2021-01-18,34932
2021-01-19,37248
2021-01-20,37610
2021-01-21,37592
2021-01-22,35431
2021-01-23,33276
2021-01-24,34882
2021-01-25,36734
2021-01-26,34945
2021-01-27,32627
2021-01-28,29971
2021-01-29,34234
2021-01-30,35675
2021-01-31,35001
2021-02-01,35358
2021-02-02,32042
2021-02-03,34027
2021-02-04,35382
2021-02-05,34976
2021-02-06,34024
2021-02-07,31637
2021-02-08,26337
2021-02-09,25565
2021-02-10,24276
2021-02-11,22522
2021-02-12,23007
2021-02-13,27679
2021-02-14,29686
2021-02-15,30873
2021-02-16,29145
2021-02-17,26614
2021-02-18,33791
2021-02-19,40019
2021-02-20,39456
2021-02-21,41172
2021-02-22,38190
2021-02-23,35765
2021-02-24,36473
2021-02-25,35331
2021-02-26,32577
2021-02-27,33532
2021-02-28,37024
2021-03-01,34152
2021-03-02,34851
2021-03-03,42390
2021-03-04,42291
2021-03-05,38458
2021-03-06,34380
2021-03-07,34989
2021-03-08,38861
2021-03-09,38773
2021-03-10,38228
2021-03-11,41647
2021-03-12,39264
2021-03-13,38727
2021-03-14,40680
2021-03-15,42183
2021-03-16,43500
2021-03-17,43061
2021-03-18,45250
2021-03-19,40230
2021-03-20,35275
2021-03-21,29910
2021-03-22,37818
2021-03-23,41139
2021-03-24,42630
2021-03-25,44360
2021-03-26,46660
2021-03-27,42425
2021-03-28,41614
2021-03-29,43977
2021-03-30,45651
2021-03-31,46974
2021-04-01,43976
2021-04-02,39690
2021-04-03,34373
2021-04-04,31884
2021-04-05,38666
2021-04-06,41100
2021-04-07,42942
2021-04-08,41034
2021-04-09,40995
2021-04-10,42026
2021-04-11,44265
2021-04-12,42307
2021-04-13,42669
2021-04-14,41563
2021-04-15,42356
2021-04-16,49169
2021-04-17,39242
2021-04-18,40871
2021-04-19,43398
2021-04-20,44230
2021-04-21,46555
2021-04-22,41891
2021-04-23,40592
2021-04-24,41012
2021-04-25,41127
2021-04-26,43178
2021-04-27,44710
2021-04-28,45875
2021-04-29,44460
2021-04-30,45657
2021-05-01,37131
2021-05-02,32717
2021-05-03,30847
2021-05-04,29039
2021-05-05,29304
2021-05-06,31440
2021-05-07,31765
2021-05-08,33015
2021-05-09,33169
2021-05-10,32066
2021-05-11,31360
2021-05-12,32079
2021-05-13,33896
2021-05-14,34481
2021-05-15,32304
2021-05-16,31737
2021-05-17,33890
2021-05-18,34194
2021-05-19,34651
2021-05-20,32044
2021-05-21,31242
2021-05-22,32842
2021-05-23,33239
2021-05-24,31730
2021-05-25,31652
2021-05-26,32364
2021-05-27,31239
2021-05-28,32418
2021-05-29,33887
2021-05-30,33035
2021-05-31,33956
2021-06-01,35335
2021-06-02,35125
2021-06-03,34291
2021-06-04,32317
2021-06-05,31991
2021-06-06,32547
2021-06-07,33608
2021-06-08,34488
2021-06-09,34963
2021-06-10,34173
2021-06-11,34073
2021-06-12,33853
2021-06-13,33813
2021-06-14,32518
2021-06-15,31892
2021-06-16,31225
2021-06-17,32268
2021-06-18,32974
2021-06-19,33561
2021-06-20,33620
2021-06-21,33581
2021-06-22,33348
2021-06-23,35125
2021-06-24,34284
2021-06-25,35305
2021-06-26,35031
2021-06-27,32360
2021-06-28,32118
2021-06-29,32719
2021-06-30,33182
2021-07-01,32746
